id,Station ID,area,perimeter,CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area,B19013001,calculated areas
"0","1",15164894.247381,14925.757219,"233","3",Brooklyn,"023300","3023300",,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047023300","4303",5438.79029047000,1849442.00527999992,"80000",138454.566
"0","1",15164894.247381,14925.757219,"234","3",Brooklyn,"023400","3023400",,Borough Park,BK1202,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047023400","4312",6241.89736284000,1827230.61428999994,"31411",102103.305
"0","1",15164894.247381,14925.757219,"235","3",Brooklyn,"023500","3023500",,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047023500","4303",4958.03552449000,1523725.91807999997,"65417",141559.714
"0","1",15164894.247381,14925.757219,"236","3",Brooklyn,"023600","3023600",,Borough Park,BK1202,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047023600","4312",6242.98107647000,1828207.74701000005,"36524",115680.467
"0","1",15164894.247381,14925.757219,"238","3",Brooklyn,"023800","3023800",,Borough Park,BK1202,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047023800","4312",6244.55672917000,1828765.84098000010,"40335",54663.189
"0","1",15164894.247381,14925.757219,"240","3",Brooklyn,"024000","3024000",,Borough Park,BK1202,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047024000","4312",6240.45934912000,1827206.31844999990,"43371",8363.630
"0","1",15164894.247381,14925.757219,"241","3",Brooklyn,"024100","3024100",,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047024100","4303",5837.00547750000,1939949.75729000010,"76528",180228.428
"0","1",15164894.247381,14925.757219,"242","3",Brooklyn,"024200","3024200",,Borough Park,BK1202,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047024200","4312",6964.54955568000,2061125.14281999995,"56250",12289.887
"0","1",15164894.247381,14925.757219,"243","3",Brooklyn,"024300","3024300",,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047024300","4303",5291.71670693000,1661539.49830999994,"94107",137058.370
"0","1",15164894.247381,14925.757219,"244","3",Brooklyn,"024400","3024400",,Mapleton-Midwood (West),BK1204,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047024400","4312",6280.44675918000,1670948.43724000012,"58342",152618.776
"0","1",15164894.247381,14925.757219,"245","3",Brooklyn,"024500","3024500",,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047024500","4303",5582.22271692000,1795931.74120000005,"100547",7993.839
"0","1",15164894.247381,14925.757219,"246","3",Brooklyn,"024600","3024600",,Mapleton-Midwood (West),BK1204,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047024600","4312",6796.31357786000,1845582.72494999995,"76652",171459.886
"0","1",15164894.247381,14925.757219,"247","3",Brooklyn,"024700","3024700",,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047024700","4303",7438.62791400000,1934649.87446999992,"63200",49482.068
"0","1",15164894.247381,14925.757219,"248","3",Brooklyn,"024800","3024800",,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047024800","4311",6417.48330493000,1895137.28951000003,"61466",94894.632
"0","1",15164894.247381,14925.757219,"249","3",Brooklyn,"024900","3024900",,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047024900","4303",5777.65500908000,1813352.57505000010,"85871",84012.269
"0","1",15164894.247381,14925.757219,"251","3",Brooklyn,"025100","3025100",,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047025100","4303",5079.93086505000,1490422.89598000003,"56111",132624.798
"0","1",15164894.247381,14925.757219,"252","3",Brooklyn,"025200","3025200",,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047025200","4311",6686.60698447000,1950979.16182000004,"54750",109259.571
"0","1",15164894.247381,14925.757219,"253","3",Brooklyn,"025300","3025300",,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047025300","4303",5626.98792901000,1741979.53603999992,"87981",161836.276
"0","1",15164894.247381,14925.757219,"254","3",Brooklyn,"025400","3025400",,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047025400","4311",6302.39467155000,1888611.69470999995,"83637",175457.362
