GEOID,AmbuRatio,nonWhiteDisabilityRatio,povertyRatio
36005012102,0.10919970082273747,1.0,0.2319277108433735
36005012300,0.08850457782299084,1.0,0.12533062054933877
36005012500,0.05880893300248139,1.0,0.30607124937280483
36005012701,0.1048780487804878,0.9788235294117648,0.2896039603960396
36005012901,0.1514595190012851,0.9402670414617006,0.35807612194660104
36005013000,0.10301109350237718,0.6728971962616823,0.27179080824088747
36005013100,0.13417669017005393,0.9672276350752879,0.4381999170468685
36005013200,0.08608083873637744,0.5613941018766756,0.09932404469582011
36005013300,0.13017555481947665,0.975,0.21161204458492763
36005013500,0.08512,1.0,0.43424
36005013800,0.09902324014819805,0.46194225721784776,0.12664196699225327
36005014100,0.07920930884620776,0.9772727272727273,0.2733772606196551
36005014300,0.17084548104956268,1.0,0.41597633136094675
36005014400,0.20390212697905005,0.9807804309842749,0.29993504384540437
36005014500,0.13063788659793815,0.9894957983193278,0.4961340206185567
36005014701,0.15606731620903455,0.9736842105263158,0.4760970388869069
36005014702,0.1448776758409786,0.9665991902834008,0.41647553516819574
36005014900,0.06420679591411299,0.9312,0.3726027397260274
36005015100,0.16100702576112413,1.0,0.4175584621482362
36005015200,0.05813953488372093,0.5991285403050108,0.13477924089852827
36005015300,0.08002883922134102,1.0,0.25970222113741764
36005015500,0.109072375127421,1.0,0.23139653414882771
36005015700,0.10760869565217392,1.0,0.36748410535876475
36005015800,0.11704312114989733,0.5859649122807018,0.2546201232032854
36005015900,0.0975609756097561,1.0,0.37398373983739835
36005016000,0.07122726108121957,0.3415906127770535,0.07583909812964386
36005016100,0.10334075723830735,0.9142857142857143,0.3935412026726058
36005016200,0.08793208004851426,0.7416974169741697,0.06064281382656155
36005016400,0.06899902818270165,0.5486111111111112,0.26141885325558795
36005016500,0.06437389770723104,1.0,0.23897707231040563
36005016600,0.03806371534960695,0.7588075880758808,0.14493960849645982
36005016700,0.08335648791330925,0.9445727482678984,0.4
36005016900,0.0791974656810982,1.0,0.4174809989142237
36005017300,0.20265417642466824,0.9644562334217507,0.4811865729898517
36005017500,0.11775332566923961,0.9721229449606862,0.30415503366726887
36005017701,0.1147086031452359,0.9854318418314256,0.5048275862068966
36005017702,0.09835766423357664,0.9913232104121475,0.32536496350364963
36005017901,0.10792778649921507,0.987468671679198,0.22566718995290425
36005017902,0.049528301886792456,0.9326530612244898,0.24659329140461217
36005018101,0.09280597944565556,0.973384030418251,0.36779819370912487
36005018102,0.10873712323540634,0.9335476956055734,0.2914592110302566
36005018301,0.1519828510182208,0.9851190476190477,0.1472668810289389
36005018302,0.052445652173913046,0.9965397923875432,0.11630434782608695
36005018400,0.07123623011015912,0.5530474040632054,0.08959608323133415
36005018501,0.10492274523895077,0.9967741935483871,0.3255479698167445
36005018502,0.1759200507614213,0.9278876834716018,0.45297228008331997
36005018900,0.08402960133683457,0.8793256433007985,0.3458883371684631
36005019300,0.13652452384965447,0.9104204753199269,0.2518118995449182
36005019400,0.10048309178743961,0.7908847184986595,0.20241545893719806
36005019500,0.11773764524709505,0.879057924888606,0.47917555081734187
36005019700,0.09514687100893997,0.970736629667003,0.5070569785676947
36005019900,0.0961846318036286,0.9480301760268232,0.33790138385059787
36005020000,0.08539553752535498,0.8656069364161849,0.23793103448275862
36005020100,0.07859922178988327,0.9585798816568047,0.41115434500648507
36005020200,0.09467918622848201,0.971671388101983,0.22135007849293564
36005020400,0.041123370110330994,0.9323843416370107,0.1784881784881785
36005020501,0.09118415623710631,0.9754232659748772,0.6006051437216339
36005020502,0.11106840891621829,0.9473684210526316,0.2768993443887389
36005020601,0.10728424386381631,0.9701897018970189,0.31807324840764334
36005020900,0.0815697554961989,0.9900497512437811,0.23027806385169927
36005021001,0.09322355921469284,0.9506398537477148,0.3031416265518115
36005021002,0.07154574132492114,0.9812138728323699,0.2286435331230284
36005021100,0.0659849816264579,0.9958762886597938,0.2694367797435481
36005021200,0.08341708542713568,1.0,0.18133767025818257
36005021301,0.12018140589569161,1.0,0.19879062736205594
36005021302,0.18614427442407938,0.9970824215900802,0.5128636287203632
36005021501,0.09560557341907824,1.0,0.40187332738626225
