CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area
"181","1",Manhattan,"018100","1018100",,Upper West Side (Central),MN0702,MN07,MN07 Upper West Side (CD 7 Approximation),"36061018100","4107",5253.87795421000,1489902.89326999988
"184","1",Manhattan,"018400","1018400",,East Harlem (North),MN1102,MN11,MN11 East Harlem (CD 11 Equivalent),"36061018400","4111",5771.87402807000,1903568.41941999993
"186","1",Manhattan,"018600","1018600",,Harlem (South),MN1001,MN10,MN10 Harlem (CD 10 Equivalent),"36061018600","4110",4621.74084376000,1311722.33119999990
"187","1",Manhattan,"018700","1018700",,Upper West Side-Manhattan Valley,MN0703,MN07,MN07 Upper West Side (CD 7 Approximation),"36061018700","4107",6534.41136082000,2323892.25423000008
"193","1",Manhattan,"019300","1019300",,Upper West Side-Manhattan Valley,MN0703,MN07,MN07 Upper West Side (CD 7 Approximation),"36061019300","4107",5716.00494440000,1892879.10541999992
"196","1",Manhattan,"019600","1019600",,East Harlem (North),MN1102,MN11,MN11 East Harlem (CD 11 Equivalent),"36061019600","4111",5776.73946275000,1902453.31241000001
"197.02","1",Manhattan,"019702","1019702",,Harlem (South),MN1001,MN10,MN10 Harlem (CD 10 Equivalent),"36061019702","4110",3204.62116985000,509562.33031100000
"199","1",Manhattan,"019900","1019900",,Morningside Heights,MN0901,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),"36061019900","4109",6655.70797590000,2406577.22288999986
"205","1",Manhattan,"020500","1020500",,Morningside Heights,MN0901,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),"36061020500","4109",7148.86462368000,2977095.90413000016
"206","1",Manhattan,"020600","1020600",,East Harlem (North),MN1102,MN11,MN11 East Harlem (CD 11 Equivalent),"36061020600","4111",5176.87308007000,1602693.85997000011
"207.01","1",Manhattan,"020701","1020701",,Morningside Heights,MN0901,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),"36061020701","4109",2984.71727731000,508167.88820400002
"208","1",Manhattan,"020800","1020800",,Harlem (North),MN1002,MN10,MN10 Harlem (CD 10 Equivalent),"36061020800","4110",5174.63965039000,1599291.60112000001
"213.03","1",Manhattan,"021303","1021303",,Manhattanville-West Harlem,MN0902,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),"36061021303","4109",7255.90349988000,1643103.36976999999
"215","1",Manhattan,"021500","1021500",,Harlem (North),MN1002,MN10,MN10 Harlem (CD 10 Equivalent),"36061021500","4110",5034.43196557000,750635.02574199997
"216","1",Manhattan,"021600","1021600",,Harlem (South),MN1001,MN10,MN10 Harlem (CD 10 Equivalent),"36061021600","4110",5689.08062719000,1864443.26600000006
"217.03","1",Manhattan,"021703","1021703",,Manhattanville-West Harlem,MN0902,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),"36061021703","4109",9422.07597661000,3384698.56827999977
"218","1",Manhattan,"021800","1021800",,Harlem (South),MN1001,MN10,MN10 Harlem (CD 10 Equivalent),"36061021800","4110",5775.54814549000,1958684.88773000007
"220","1",Manhattan,"022000","1022000",,Harlem (South),MN1001,MN10,MN10 Harlem (CD 10 Equivalent),"36061022000","4110",5691.51581119000,1882647.55466999998
"221.02","1",Manhattan,"022102","1022102",,Harlem (North),MN1002,MN10,MN10 Harlem (CD 10 Equivalent),"36061022102","4110",4893.83957917000,1065533.64290000009
"222","1",Manhattan,"022200","1022200",,Harlem (South),MN1001,MN10,MN10 Harlem (CD 10 Equivalent),"36061022200","4110",5772.83230285000,1953119.68039000011
"223.01","1",Manhattan,"022301","1022301",,Manhattanville-West Harlem,MN0902,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),"36061022301","4109",8733.01480272000,2058402.29328000010
"224","1",Manhattan,"022400","1022400",,Harlem (North),MN1002,MN10,MN10 Harlem (CD 10 Equivalent),"36061022400","4110",6182.38942395000,2099457.95410000021
"225","1",Manhattan,"022500","1022500",,Hamilton Heights-Sugar Hill,MN0903,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),"36061022500","4109",7396.99274354000,2807019.54711000016
"226","1",Manhattan,"022600","1022600",,Harlem (North),MN1002,MN10,MN10 Harlem (CD 10 Equivalent),"36061022600","4110",5681.12205901000,1642680.48658000003
"228","1",Manhattan,"022800","1022800",,Harlem (North),MN1002,MN10,MN10 Harlem (CD 10 Equivalent),"36061022800","4110",5758.39249094000,1944083.44002000010
"231","1",Manhattan,"023100","1023100",,Hamilton Heights-Sugar Hill,MN0903,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),"36061023100","4109",5606.71317811000,1962707.27007999993
"234","1",Manhattan,"023400","1023400",,Harlem (North),MN1002,MN10,MN10 Harlem (CD 10 Equivalent),"36061023400","4110",5671.30995301000,1167006.62519000005
"235.02","1",Manhattan,"023502","1023502",,Harlem (North),MN1002,MN10,MN10 Harlem (CD 10 Equivalent),"36061023502","4110",3399.58440965000,447807.85508100002
"243.01","1",Manhattan,"024301","1024301",,Washington Heights (South),MN1201,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),"36061024301","4112",4737.70166378000,1129820.01224999991
