CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area,calculated,id,Station ID,area,perimeter,DepArea
"284","3",Brooklyn,"028400","3028400",,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047028400","4311",6096.04496465000,1768012.15535999998,164253.061,"0","1",15164894.247381,14925.757219,593924.619
"286","3",Brooklyn,"028600","3028600",,Bath Beach,BK1102,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047028600","4311",6444.43496258000,1904932.72347999993,176973.189,"0","1",15164894.247381,14925.757219,662062.011
"287","3",Brooklyn,"028700","3028700",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047028700","4303",5919.88469130000,1601115.38739000005,148749.523,"0","1",15164894.247381,14925.757219,523174.673
"288","3",Brooklyn,"028800","3028800",,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047028800","4311",5777.68787813000,1644934.14158000005,152818.759,"0","1",15164894.247381,14925.757219,12858.970
"291","3",Brooklyn,"029100","3029100",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047029100","4303",5439.93909617000,1772059.56896999991,164630.786,"0","1",15164894.247381,14925.757219,1301290.318
"292","3",Brooklyn,"029200","3029200",,Bath Beach,BK1102,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047029200","4311",7319.55478679000,2215329.95451000007,205827.077,"0","1",15164894.247381,14925.757219,4263.704
"293","3",Brooklyn,"029300","3029300",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047029300","4303",5437.78557920000,1770060.69258000003,164445.037,"0","1",15164894.247381,14925.757219,227573.704
"294","3",Brooklyn,"029400","3029400",,Gravesend (West),BK1103,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047029400","4311",6602.82917976000,2032099.54374000011,188787.192,"0","1",15164894.247381,14925.757219,349.592
"295","3",Brooklyn,"029500","3029500",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047029500","4303",5437.79887322000,1771507.82944000000,164579.433,"0","1",15164894.247381,14925.757219,386.421
"298","3",Brooklyn,"029800","3029800",,Gravesend (West),BK1103,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047029800","4311",7431.07837928000,2379873.95979999984,221096.502,"0","1",15164894.247381,14925.757219,258050.648
"299","3",Brooklyn,"029900","3029900",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047029900","4303",5862.94685237000,1535625.10504000005,142664.988,"0","1",15164894.247381,14925.757219,98374.805
"300","3",Brooklyn,"030000","3030000",,Gravesend (West),BK1103,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047030000","4311",7243.13172098000,2099451.01067999983,195044.376,"0","1",15164894.247381,14925.757219,819309.869
"301","3",Brooklyn,"030100","3030100",,Ocean Hill,BK1601,BK16,BK16 Ocean Hill-Brownsville (CD 16 Approximation),"36047030100","4316",7472.43532951000,2097829.09676000010,194895.709,"0","1",15164894.247381,14925.757219,2071001.645
"302","3",Brooklyn,"030200","3030200",,Gravesend (West),BK1103,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047030200","4311",6921.91439236000,2273119.84544999991,211178.601,"0","1",15164894.247381,14925.757219,1561850.502
"303","3",Brooklyn,"030300","3030300",,Ocean Hill,BK1601,BK16,BK16 Ocean Hill-Brownsville (CD 16 Approximation),"36047030300","4316",6958.01022665000,2726302.16587000014,253283.006,"0","1",15164894.247381,14925.757219,2590493.990
"304","3",Brooklyn,"030400","3030400",,Gravesend (West),BK1103,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047030400","4311",13598.68467230000,5021019.79169999994,466457.979,"0","1",15164894.247381,14925.757219,1362884.850
"306","3",Brooklyn,"030600","3030600",,Gravesend (South),BK1301,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047030600","4313",6092.76377588000,2084709.65299000009,193674.678,"0","1",15164894.247381,14925.757219,2084709.653
"307","3",Brooklyn,"030700","3030700",,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047030700","4308",7159.26813031000,2868056.47876999993,266452.490,"0","1",15164894.247381,14925.757219,1042413.344
"308","3",Brooklyn,"030800","3030800",,Gravesend (South),BK1301,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047030800","4313",12577.36619600000,7196385.34023999982,668561.502,"0","1",15164894.247381,14925.757219,6114357.171
"309","3",Brooklyn,"030900","3030900",,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047030900","4308",5520.40332271000,1627454.73658000003,151196.252,"0","1",15164894.247381,14925.757219,19.672
